GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.sun.tools.javac.parser,ReferenceParser.ParseException,7,0,0,0,3,0,1,0,1,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,JavacParser.EmptyEndPosTable,0,13,0,0,0,7,0,6,0,6
JaCoCo Coverage Report,com.sun.tools.javac.parser,Tokens.Token,30,156,5,17,6,33,8,12,3,6
JaCoCo Coverage Report,com.sun.tools.javac.parser,UnicodeReader.PositionTrackingReader,15,39,1,3,3,10,3,3,2,2
JaCoCo Coverage Report,com.sun.tools.javac.parser,JavacParser.LambdaClassifier,10,102,9,19,0,18,7,11,0,4
JaCoCo Coverage Report,com.sun.tools.javac.parser,TextBlockSupport,139,0,26,0,27,0,16,0,3,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,LazyDocCommentTable.Entry,6,0,0,0,3,0,1,0,1,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,JavacParser.SimpleEndPosTable,70,0,6,0,16,0,9,0,6,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,Tokens,0,100,0,10,0,19,0,10,0,5
JaCoCo Coverage Report,com.sun.tools.javac.parser,DocCommentParser.TagParser,65,0,8,0,17,0,11,0,7,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,JavacParser.LambdaParameterKind,0,39,0,0,0,8,0,2,0,2
JaCoCo Coverage Report,com.sun.tools.javac.parser,Tokens.StringToken,6,19,1,1,1,6,1,3,0,3
JaCoCo Coverage Report,com.sun.tools.javac.parser,ReferenceParser.Reference,15,0,0,0,6,0,1,0,1,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,JavadocTokenizer.JavadocComment,251,0,42,0,71,0,29,0,8,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,ReferenceParser,462,13,44,1,87,4,29,2,6,2
JaCoCo Coverage Report,com.sun.tools.javac.parser,UnicodeReader.UnicodeEscapeResult,0,21,0,0,0,4,0,1,0,1
JaCoCo Coverage Report,com.sun.tools.javac.parser,DocCommentParser.ParseException,12,0,0,0,5,0,2,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,JavacParser,768,11133,250,1451,151,2345,223,889,7,175
JaCoCo Coverage Report,com.sun.tools.javac.parser,JavacParser.EnumeratorEstimate,0,21,0,0,0,4,0,1,0,1
JaCoCo Coverage Report,com.sun.tools.javac.parser,JavacParser.BasicErrorRecoveryAction.new JavacParser.BasicErrorRecoveryAction() {...},0,8,0,0,0,1,0,2,0,2
JaCoCo Coverage Report,com.sun.tools.javac.parser,JavacParser.BasicErrorRecoveryAction.new JavacParser.BasicErrorRecoveryAction() {...},0,8,0,0,0,1,0,2,0,2
JaCoCo Coverage Report,com.sun.tools.javac.parser,Tokens.TokenKind,18,883,8,7,9,131,9,12,1,8
JaCoCo Coverage Report,com.sun.tools.javac.parser,ReferenceParser.TypeAnnotationFinder,11,0,2,0,3,0,4,0,3,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,DocCommentParser.new DocCommentParser.TagParser() {...},20,0,0,0,3,0,2,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,DocCommentParser.new DocCommentParser.TagParser() {...},40,0,2,0,8,0,3,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,Tokens.NamedToken,6,19,1,1,1,6,1,3,0,3
JaCoCo Coverage Report,com.sun.tools.javac.parser,DocCommentParser.new DocCommentParser.TagParser() {...},29,0,0,0,5,0,2,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,DocCommentParser.new DocCommentParser.TagParser() {...},29,0,0,0,5,0,2,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,DocCommentParser.new DocCommentParser.TagParser() {...},59,0,6,0,13,0,5,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,DocCommentParser.new DocCommentParser.TagParser() {...},20,0,0,0,3,0,2,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,JavacParser.PatternResult,0,15,0,0,0,3,0,1,0,1
JaCoCo Coverage Report,com.sun.tools.javac.parser,DocCommentParser,2350,0,345,0,508,0,231,0,43,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,JavacParser.AbstractEndPosTable,0,21,0,2,0,9,0,4,0,3
JaCoCo Coverage Report,com.sun.tools.javac.parser,ParserFactory,8,84,0,2,1,20,1,5,1,4
JaCoCo Coverage Report,com.sun.tools.javac.parser,LazyDocCommentTable,83,0,8,0,18,0,10,0,6,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,DocCommentParser.Phase,21,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,Tokens.Comment.CommentStyle,0,21,0,0,0,4,0,1,0,1
JaCoCo Coverage Report,com.sun.tools.javac.parser,DocCommentParser.new DocCommentParser.TagParser() {...},20,0,0,0,3,0,2,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,DocCommentParser.new DocCommentParser.TagParser() {...},20,0,0,0,3,0,2,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,DocCommentParser.new DocCommentParser.TagParser() {...},49,0,2,0,10,0,3,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,DocCommentParser.new DocCommentParser.TagParser() {...},20,0,0,0,3,0,2,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,DocCommentParser.new DocCommentParser.TagParser() {...},127,0,23,0,20,0,15,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,DocCommentParser.new DocCommentParser.TagParser() {...},43,0,5,0,8,0,5,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,DocCommentParser.new DocCommentParser.TagParser() {...},29,0,0,0,5,0,2,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,DocCommentParser.new DocCommentParser.TagParser() {...},59,0,6,0,14,0,5,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,DocCommentParser.new DocCommentParser.TagParser() {...},25,0,0,0,4,0,2,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,DocCommentParser.new DocCommentParser.TagParser() {...},26,0,0,0,4,0,2,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,DocCommentParser.new DocCommentParser.TagParser() {...},310,0,38,0,56,0,22,0,3,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,TextBlockSupport.WhitespaceChecks,15,0,0,0,3,0,1,0,1,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,Scanner,10,124,0,6,2,30,1,14,1,11
JaCoCo Coverage Report,com.sun.tools.javac.parser,JavadocTokenizer,40,0,0,0,10,0,4,0,4,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,JavacParser.ParensResult,0,27,0,0,0,5,0,1,0,1
JaCoCo Coverage Report,com.sun.tools.javac.parser,ScannerFactory,41,64,5,3,6,17,5,4,1,4
JaCoCo Coverage Report,com.sun.tools.javac.parser,JavadocTokenizer.OffsetMap,201,0,24,0,37,0,19,0,7,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,JavacParser.BasicErrorRecoveryAction,0,15,0,0,0,3,0,1,0,1
JaCoCo Coverage Report,com.sun.tools.javac.parser,UnicodeReader,4,571,10,96,0,134,10,73,0,29
JaCoCo Coverage Report,com.sun.tools.javac.parser,DocCommentParser.WhitespaceRetentionPolicy,21,0,0,0,4,0,1,0,1,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,JavaTokenizer,140,1354,31,210,35,385,26,142,2,34
JaCoCo Coverage Report,com.sun.tools.javac.parser,DocCommentParser.TagParser.Kind,21,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,Tokens.Token.Tag,0,27,0,0,0,5,0,1,0,1
JaCoCo Coverage Report,com.sun.tools.javac.parser,JavaTokenizer.BasicComment,4,119,2,29,2,37,4,18,2,4
JaCoCo Coverage Report,com.sun.tools.javac.parser,Tokens.NumericToken,6,20,1,1,1,6,1,3,0,3
JaCoCo Coverage Report,com.sun.tools.javac.parser,DocCommentParser.new DocCommentParser.TagParser() {...},37,0,2,0,7,0,3,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,DocCommentParser.new DocCommentParser.TagParser() {...},20,0,0,0,3,0,2,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,DocCommentParser.new DocCommentParser.TagParser() {...},25,0,0,0,4,0,2,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,DocCommentParser.new DocCommentParser.TagParser() {...},20,0,0,0,3,0,2,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,DocCommentParser.new DocCommentParser.TagParser() {...},37,0,2,0,7,0,3,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,DocCommentParser.new DocCommentParser.TagParser() {...},68,0,8,0,13,0,6,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,DocCommentParser.new DocCommentParser.TagParser() {...},20,0,0,0,3,0,2,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,DocCommentParser.new DocCommentParser.TagParser() {...},29,0,0,0,5,0,2,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.parser,DocCommentParser.new DocCommentParser.TagParser() {...},26,0,0,0,4,0,2,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.api,DiagnosticFormatter.Configuration.MultilineLimit,0,15,0,0,0,3,0,1,0,1
JaCoCo Coverage Report,com.sun.tools.javac.api,BasicJavacTask,309,76,32,6,80,20,38,3,19,3
JaCoCo Coverage Report,com.sun.tools.javac.api,WrappingJavaFileManager,105,0,2,0,19,0,15,0,14,0
JaCoCo Coverage Report,com.sun.tools.javac.api,JavacTrees.new Type.ClassType() {...},18,0,0,0,3,0,3,0,3,0
JaCoCo Coverage Report,com.sun.tools.javac.api,JavacTrees.new Tokens.Comment() {...},36,0,0,0,9,0,5,0,5,0
JaCoCo Coverage Report,com.sun.tools.javac.api,JavacTrees.new DocCommentTable() {...},27,0,0,0,6,0,6,0,6,0
JaCoCo Coverage Report,com.sun.tools.javac.api,JavacTrees.new JCTree.JCCompilationUnit() {...},33,0,0,0,8,0,4,0,4,0
JaCoCo Coverage Report,com.sun.tools.javac.api,JavacTrees.new DocSourcePositions() {...},45,0,0,0,10,0,5,0,5,0
JaCoCo Coverage Report,com.sun.tools.javac.api,JavacTrees.new TreeScanner() {...},116,0,4,0,24,0,6,0,4,0
JaCoCo Coverage Report,com.sun.tools.javac.api,JavacTrees.new DocTreeScanner() {...},18,0,2,0,3,0,3,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.api,JavacScope.new JavacScope() {...},18,0,0,0,4,0,4,0,4,0
JaCoCo Coverage Report,com.sun.tools.javac.api,JavacScope.new JavacScope() {...},28,0,0,0,5,0,2,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.api,JavacTaskPool,236,0,10,0,55,0,12,0,7,0
JaCoCo Coverage Report,com.sun.tools.javac.api,ClientCodeWrapper.WrappedJavaFileObject,74,0,0,0,24,0,6,0,6,0
JaCoCo Coverage Report,com.sun.tools.javac.api,Entity,6685,0,14,0,2144,0,12,0,5,0
JaCoCo Coverage Report,com.sun.tools.javac.api,DiagnosticFormatter.Configuration.DiagnosticPart,0,33,0,0,0,6,0,1,0,1
JaCoCo Coverage Report,com.sun.tools.javac.api,JavacTaskPool.ReusableContext.ReusableLog.new DiagnosticListener() {...},22,0,2,0,5,0,3,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.api,JavacTaskPool.ReusableContext.ReusableJavaCompiler,12,0,0,0,7,0,5,0,5,0
JaCoCo Coverage Report,com.sun.tools.javac.api,ClientCodeWrapper.WrappedStandardJavaFileManager,229,0,0,0,82,0,15,0,15,0
JaCoCo Coverage Report,com.sun.tools.javac.api,ClientCodeWrapper.WrappedDiagnosticListener,37,0,0,0,11,0,3,0,3,0
JaCoCo Coverage Report,com.sun.tools.javac.api,ClientCodeWrapper.WrappedTaskListener,49,0,0,0,18,0,4,0,4,0
JaCoCo Coverage Report,com.sun.tools.javac.api,JavacTaskImpl.new JavacTaskImpl.Filter() {...},23,0,0,0,3,0,2,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.api,JavacTaskImpl.new JavacTaskImpl.Filter() {...},25,0,0,0,3,0,2,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.api,JavacTrees.Copier,40,0,2,0,11,0,4,0,3,0
JaCoCo Coverage Report,com.sun.tools.javac.api,JavacScope,137,0,24,0,22,0,25,0,13,0
JaCoCo Coverage Report,com.sun.tools.javac.api,JavacTool,341,0,50,0,76,0,34,0,9,0
JaCoCo Coverage Report,com.sun.tools.javac.api,ClientCodeWrapper,212,22,35,1,41,7,31,2,13,2
JaCoCo Coverage Report,com.sun.tools.javac.api,ClientCodeWrapper.DiagnosticSourceUnwrapper,53,0,0,0,13,0,11,0,11,0
JaCoCo Coverage Report,com.sun.tools.javac.api,DiagnosticFormatter.PositionKind,0,33,0,0,0,6,0,1,0,1
JaCoCo Coverage Report,com.sun.tools.javac.api,ClientCodeWrapper.WrappedJavaFileManager,341,0,0,0,103,0,21,0,21,0
JaCoCo Coverage Report,com.sun.tools.javac.api,JavacTaskPool.ReusableContext.ReusableLog,29,0,0,0,10,0,3,0,3,0
JaCoCo Coverage Report,com.sun.tools.javac.api,JavacTrees.HtmlFileObject,15,0,0,0,6,0,5,0,5,0
JaCoCo Coverage Report,com.sun.tools.javac.api,Formattable.LocalizedString,5,14,0,0,2,4,2,2,2,2
JaCoCo Coverage Report,com.sun.tools.javac.api,JavacTaskPool.ReusableContext,150,0,4,0,43,0,8,0,6,0
JaCoCo Coverage Report,com.sun.tools.javac.api,ClientCodeWrapper.WrappedFileObject,138,0,0,0,49,0,11,0,11,0
JaCoCo Coverage Report,com.sun.tools.javac.api,MultiTaskListener,192,47,15,3,32,13,15,5,7,4
JaCoCo Coverage Report,com.sun.tools.javac.api,JavacTrees,1818,103,290,2,408,28,206,3,57,3
JaCoCo Coverage Report,com.sun.tools.javac.api,JavacTaskPool.ReusableContext.new TreeScanner() {...},98,0,16,0,20,0,13,0,5,0
JaCoCo Coverage Report,com.sun.tools.javac.api,JavacTaskImpl,1023,0,132,0,226,0,92,0,25,0
JaCoCo Coverage Report,com.sun.tools.javac.api,JavacTaskImpl.Filter,88,0,14,0,22,0,9,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.launcher,Main.MemoryFileManager.new SimpleJavaFileObject() {...},16,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.launcher,Main,588,0,53,0,134,0,37,0,10,0
JaCoCo Coverage Report,com.sun.tools.javac.launcher,Main.MemoryFileManager,39,0,4,0,8,0,5,0,3,0
JaCoCo Coverage Report,com.sun.tools.javac.launcher,Main.Context,27,0,0,0,6,0,3,0,3,0
JaCoCo Coverage Report,com.sun.tools.javac.launcher,Main.MainClassListener,24,0,6,0,8,0,5,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.launcher,Main.MemoryClassLoader.new Enumeration() {...},38,0,4,0,8,0,5,0,3,0
JaCoCo Coverage Report,com.sun.tools.javac.launcher,Main.Fault,9,0,0,0,3,0,1,0,1,0
JaCoCo Coverage Report,com.sun.tools.javac.launcher,Main.MemoryFileManager.1.new ByteArrayOutputStream() {...},20,0,0,0,4,0,2,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.launcher,Main.new SimpleJavaFileObject() {...},35,0,4,0,6,0,7,0,5,0
JaCoCo Coverage Report,com.sun.tools.javac.launcher,Main.MemoryClassLoader.MemoryURLConnection,43,0,4,0,13,0,7,0,5,0
JaCoCo Coverage Report,com.sun.tools.javac.launcher,Main.MemoryClassLoader.MemoryURLStreamHandler,34,0,2,0,4,0,3,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.launcher,Main.MemoryClassLoader,212,0,22,0,48,0,20,0,9,0
JaCoCo Coverage Report,com.sun.tools.javac.jvm,Profile.new Profile() {...},2,5,0,0,1,1,1,1,1,1
JaCoCo Coverage Report,com.sun.tools.javac.jvm,Items.Item,17,88,0,8,4,22,4,11,4,7
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.ProxyType,32,0,0,0,8,0,5,0,5,0
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassWriter.AttributeWriter,11,191,1,12,2,41,2,15,1,6
JaCoCo Coverage Report,com.sun.tools.javac.jvm,Items.new Items.Item() {...},2,8,0,0,1,1,1,1,1,1
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.TypeAnnotationCompleter,73,0,2,0,17,0,4,0,3,0
JaCoCo Coverage Report,com.sun.tools.javac.jvm,JNIWriter.SimpleTypeVisitor,75,0,0,0,19,0,15,0,15,0
JaCoCo Coverage Report,com.sun.tools.javac.jvm,Code.State,193,465,39,47,41,90,30,30,3,13
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.new ClassReader.AttributeReader() {...},87,10,10,0,19,1,6,1,1,1
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.new ClassReader.AttributeReader() {...},0,28,0,2,0,6,0,3,0,2
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.new ClassReader.AttributeReader() {...},7,10,0,0,2,1,1,1,1,1
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.new ClassReader.AttributeReader() {...},0,53,1,5,0,10,1,4,0,2
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.new ClassReader.AttributeReader() {...},54,96,5,11,5,20,5,8,0,3
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.new ClassReader.AttributeReader() {...},8,23,1,1,1,4,1,2,0,2
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.new ClassReader.AttributeReader() {...},0,46,1,3,0,8,1,3,0,2
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.new ClassReader.AttributeReader() {...},3,24,1,1,0,4,1,2,0,2
JaCoCo Coverage Report,com.sun.tools.javac.jvm,PoolConstant.LoadableConstant,0,34,0,0,0,5,0,5,0,5
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.new Type.ClassType() {...},34,35,3,3,9,9,3,3,1,2
JaCoCo Coverage Report,com.sun.tools.javac.jvm,Items.IndexedItem,14,52,0,0,4,11,3,5,3,5
