GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.intellij.openapi.editor.colors,TextAttributesKey.new VolatileNullableLazyValue() {...},7,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,com.intellij.openapi.editor.colors,TextAttributesKey,158,0,22,0,25,0,23,0,12,0
JaCoCo Coverage Report,com.intellij.openapi.editor.colors,CodeInsightColors,98,0,0,0,36,0,1,0,1,0
JaCoCo Coverage Report,com.intellij.openapi.editor.colors,ColorKey,86,0,14,0,14,0,16,0,9,0
JaCoCo Coverage Report,com.google.gwt.dev.js.parserExceptions,JsParserException,22,0,0,0,3,0,1,0,1,0
JaCoCo Coverage Report,com.google.gwt.dev.js.parserExceptions,AbortParsingException,3,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,org.jetbrains.kotlin.fir.declarations.synthetic,FirSyntheticPropertyBuilderKt,20,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,org.jetbrains.kotlin.fir.declarations.synthetic,FirSyntheticProperty,291,0,2,0,50,0,45,0,44,0
JaCoCo Coverage Report,org.jetbrains.kotlin.fir.declarations.synthetic,FirSyntheticPropertyBuilder,170,0,14,0,14,0,21,0,14,0
JaCoCo Coverage Report,org.jetbrains.kotlin.fir.declarations.synthetic,FirSyntheticPropertyAccessor,257,0,4,0,44,0,40,0,38,0
JaCoCo Coverage Report,org.jetbrains.kotlin.ir.linkage,KotlinIrLinkerInternalException,4,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,org.jetbrains.kotlin.ir.linkage,IrDeserializer.TopLevelSymbolKind,27,0,0,0,4,0,1,0,1,0
JaCoCo Coverage Report,org.jetbrains.kotlin.ir.linkage,IrDeserializer.DefaultImpls,11,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.ir.linkage,IrDeserializer.IrLinkerExtension.DefaultImpls,11,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,JvmAdditionalClassPartsProviderKt,4,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,AsmTypes,42,304,18,27,2,71,18,16,1,7
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,RuntimeAssertionInfo.Companion,18,43,11,9,3,9,9,3,0,2
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,KotlinJavaPsiFacade.PackageCache,7,18,0,0,3,4,1,1,1,1
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,JvmDeclarationReturnTypeSanitizer,32,0,2,0,4,0,2,0,1,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,RuntimeAssertionsKt,10,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,JdkClassesKt,0,8,0,0,0,1,0,2,0,2
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,KotlinJavaPsiFacade.NonCliFinder,77,0,14,0,12,0,12,0,5,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,JvmResolverForModuleFactory.createResolverForModule.moduleClassResolver.new Function1() {...},109,0,10,0,11,0,6,0,1,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,JavaDescriptorResolver,51,57,11,5,3,8,8,3,0,3
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,SyntheticJavaPartsProvider.Companion,0,12,0,0,0,1,0,2,0,2
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,JvmPlatformOverloadsSpecificityComparator,68,9,18,0,8,2,11,1,2,1
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,JvmAdditionalClassPartsProvider,47,33,10,2,3,5,6,3,0,3
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,RuntimeAssertionsDataFlowExtras,23,30,0,0,2,5,3,1,3,1
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,KotlinJavaPsiFacade.CliFinder,26,36,10,6,1,7,9,5,1,5
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,JvmTypeSpecificityComparatorDelegate,0,14,0,0,0,1,0,2,0,2
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,JvmDelegationFilter,64,0,18,0,9,0,12,0,3,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,NotFoundPackagesCachingStrategy.Default,0,24,1,5,0,3,1,3,0,1
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,RuntimeAssertionInfo.DataFlowExtras.OnlyMessage,14,0,0,0,3,0,3,0,3,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,JvmCodeAnalyzerInitializer,0,3,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,KotlinJavaPsiFacade.new PsiModificationTracker.Listener() {...},17,12,2,0,5,2,2,1,1,1
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,KotlinJavaPsiFacade.new BulkFileListener() {...},55,6,22,0,10,1,12,1,1,1
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.jvm,KotlinJavaPsiFacade.NonCliFinder.new CommonProcessors.FindProcessor() {...},11,0,0,0,2,0,2,0,2,0
